"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Escuna;1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Flutuante;2
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Hidroavião;1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Hovercraft;1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Jangada;127
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Jet Boat;13
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Lançador de Linhas;1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Lancha;1085
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Moto-Aquática/similar;1657
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);23
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Outros;78
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Passageiro;42
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Passageiro / Carga Geral;18
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Pesqueiro;13
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Pesquisa;1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Rebocador;16
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Roll-on / Roll-off Passageiro (Ferry Boat);1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Transporte Escolar;1
"2º ";Capitania Fluvial de Juazeiro;CFJUAZ;BA;Veleiro;10
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Balsa;37
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Barcaça;18
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Bote;335
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Cábrea;2
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Caiaque;34
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Caique;3
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Canoa;593
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Chata;8
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Draga;8
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Empurrador;5
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Escuna;28
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Floating, Production, Storage and Off-Loading Unit (FPSO);1
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Flutuante;4
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Hovercraft;1
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Iate;1
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Jangada;51
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Jet Boat;3
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Lançador de Linhas;4
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Lancha;2216
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Laser;3
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Manuseio de Âncora (AHTS);3
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Moto-Aquática/similar;952
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);8
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Outros;166
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Passageiro;9
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Pesqueiro;490
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Pesquisa;1
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Rebocador;2
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Saveiro;350
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Traineira;10
"2º ";Delegacia da Capitania dos Portos em Ilhéus;DLHEUS;BA;Veleiro;48
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Apoio à Manobra;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Apoio a Mergulho;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Balsa;24
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Barcaça;7
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Batelão;2
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Bote;1271
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Caiaque;40
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Caique;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Canoa;253
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Carga Geral;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Chata;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Draga;17
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Escuna;80
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Flutuante;10
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Hovercraft;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Iate;2
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Jangada;4
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Jet Boat;4
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Lancha;864
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Laser;1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Moto-Aquática/similar;198
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);23
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Outros;70
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Passageiro;11
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Passageiro / Carga Geral;6
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Pesqueiro;2114
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Pesquisa;2
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Rebocador;21
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Roll-on / Roll-off Passageiro (Ferry Boat);1
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Saveiro;48
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Traineira;26
"2º ";Delegacia da Capitania dos Portos em Porto Seguro;DLSEGU;BA;Veleiro;47
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Balsa;13
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Bote;614
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Canoa;132
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Chata;1
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Escuna;1
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Flutuante;1
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Iate;2
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Jangada;875
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Jet Boat;4
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Lancha;382
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Moto-Aquática/similar;307
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Multicasco (Catamarã, Trimarã, Tetramarã, etc);46
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Outros;128
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Passageiro;2
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Pesqueiro;610
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Pesquisa;1
"3º ";Agência da Capitania dos Portos em Aracati;AGCATI;CE;Veleiro;3
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Balsa;20
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Barcaça;15
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Batelão;1
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Bote;155
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Caiaque;3
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Caique;2
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Canoa;31
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Chata;2
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Flutuante;1
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Graneleiro;2
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Jangada;104
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Jet Boat;5
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Lancha;80
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Moto-Aquática/similar;90
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Multicasco (Catamarã, Trimarã, Tetramarã, etc);33
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Outros;116
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Passageiro;2
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Pesqueiro;210
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Plataforma Auto-Elevável;1
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Rebocador;2
"3º ";Agência da Capitania dos Portos em Areia Branca;AGBRAN;RN;Veleiro;2
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Alvarenga;25
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Balsa;48
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Bote;329
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Canoa;2154
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Curral;1
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Dique Flutuante;1
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Escuna;2
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Jangada;54
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Lancha;311
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Moto-Aquática/similar;108
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Multicasco (Catamarã, Trimarã, Tetramarã, etc);4
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Outros;65
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Passageiro;9
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Pesqueiro;747
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Rebocador;2
"3º ";Agência da Capitania dos Portos em Camocim;AGOCIM;CE;Veleiro;4
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Balsa;27
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Barcaça;10
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Batelão;1
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Bote;249
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Caiaque;8
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Caique;2
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Canoa;1829
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Chata;1
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Empurrador;3
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Escuna;2
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Flutuante;23
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Jangada;88
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Jet Boat;5
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Lancha;593
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Laser;1
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Moto-Aquática/similar;122
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Multicasco (Catamarã, Trimarã, Tetramarã, etc);45
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Outros;2338
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Passageiro / Carga Geral;4
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Pesqueiro;150
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Rebocador;3
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Saveiro;1
"3º ";Agência Fluvial de Penedo;AGNEDO;AL;Veleiro;39
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Balsa;12
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Barcaça;1
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Bote;902
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Cábrea;1
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Caiaque;22
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Caique;17
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Canoa;1557
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Chata;4
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Draga;8
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Empurrador;2
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Flutuante;44
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Hovercraft;1
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Jangada;1646
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Jet Boat;29
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Lançador de Linhas;1
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Lancha;918
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Moto-Aquática/similar;2145
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Multicasco (Catamarã, Trimarã, Tetramarã, etc);104
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Outros;37
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Pesqueiro;43
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Pesquisa;2
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Rebocador;5
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Saveiro;1
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Traineira;1
"3º ";Capitania dos Portos da Paraíba;CPSSOA;PB;Veleiro;178
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Apoio à Manobra;2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Balsa;32
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Barcaça;2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Batelão;2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Bote;1196
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Cábrea;1
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Caiaque;20
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Caique;6
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Canoa;1840
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Chata;9
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Draga;29
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Empurrador;1
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Escuna;17
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Flutuante;13
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Hovercraft;4
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Iate;4
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Jangada;4262
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Jet Boat;22
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Lancha;1885
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Laser;3
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Moto-Aquática/similar;2492
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Multicasco (Catamarã, Trimarã, Tetramarã, etc);223
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Outros;1526
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Passageiro;5
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Pesqueiro;112
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Petroleiro;2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Petroleiro e Químico;1
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Rebocador;2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Saveiro;1
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Supridor (Supply);1
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Tanque (transporte de granéis líquidos);2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Traineira;2
"3º ";Capitania dos Portos de Alagoas;CPCEIO;AL;Veleiro;57
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Apoio a Mergulho;4
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Balsa;27
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Barcaça;107
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Batelão;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Bote;1589
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Caiaque;22
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Caique;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Canoa;128
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Carga Geral;14
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Chata;4
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Dique Flutuante;2
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Draga;132
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Empurrador;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Escuna;5
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Flutuante;49
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Hovercraft;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Iate;8
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Jangada;3697
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Jet Boat;76
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Lançador de Linhas;3
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Lancha;3377
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Laser;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Manuseio de Âncora (AHTS);1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Moto-Aquática/similar;3059
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Multicasco (Catamarã, Trimarã, Tetramarã, etc);131
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Oceonagráfico;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Outros;918
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Passageiro;15
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Pesqueiro;91
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Pesquisa;2
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Petroleiro;10
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Petroleiro e Químico;2
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Plataforma Auto-Elevável;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Plataforma Fixa;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Porta-Contentor;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Químico;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Rebocador;5
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Roll-on / Roll-off Passageiro (Ferry Boat);1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Saveiro;2
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Supridor (Supply);2
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Tanque (transporte de granéis líquidos);6
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Traineira;4
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Transporte de Gases Liquefeitos;1
"3º ";Capitania dos Portos de Pernambuco;CPCIFE;PE;Veleiro;242
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Alvarenga;1
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Balsa;85
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Barcaça;8
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Batelão;3
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Bote;724
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Caiaque;11
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Canoa;1040
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Carga Geral;12
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Chata;1
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Draga;3
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Empurrador;1
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Escuna;6
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Flutuante;8
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Hovercraft;1
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Iate;15
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Jangada;1734
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Jet Boat;9
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Lançador de Linhas;2
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Lancha;1287
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Moto-Aquática/similar;1330
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Multicasco (Catamarã, Trimarã, Tetramarã, etc);71
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Multipurpose;2
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Outros;250
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Passageiro;6
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Passageiro / Carga Geral;1
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Pesqueiro;822
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Pesquisa;2
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Petroleiro;1
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Rebocador;12
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Saveiro;3
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Supridor (Supply);10
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Tanque (transporte de granéis líquidos);2
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Transporte de Gases Liquefeitos;2
"3º ";Capitania dos Portos do Ceará;CPFTZA;CE;Veleiro;54
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Balsa;118
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Batelão;1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Bote;910
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Caiaque;13
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Caique;2
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Canoa;549
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Carga Geral;18
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Chata;5
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Dique Flutuante;1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Draga;6
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Escuna;6
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Flutuante;13
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Hovercraft;1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Iate;5
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Jangada;1320
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Jet Boat;13
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Lancha;1033
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Manuseio de Âncora (AHTS);3
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Moto-Aquática/similar;1071
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Multicasco (Catamarã, Trimarã, Tetramarã, etc);110
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Multipurpose;1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Outros;702
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Passageiro;46
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Passageiro / Carga Geral;1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Pesqueiro;533
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Pesquisa;1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Rebocador;7
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Saveiro;3
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Supridor (Supply);1
"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Traineira;1
